Edge_(geometry)	Isosceles_triangle
Vertex_(geometry)	Hexagon
Vertex_(geometry)	Star_polygon
Edge_(geometry)	Pythagorean_theorem
Point_(geometry)	Sine
Circle	Sphere
Bisection	Angle_bisector_theorem
Polygon	Prism_(geometry)
Point_(geometry)	Cartesian_coordinate_system
Angle	Pythagorean_triple
Geometry	Octagon
Geometry	Parallelogram
Perpendicular	Cartesian_coordinate_system
Triangle	Pythagorean_triple
Polygon	Nonagon
Point_(geometry)	Pentagon
Line_(geometry)	Convex_polygon
Geometry	Similarity_(geometry)
Rotation_(mathematics)	Reflection_symmetry
Angle	Isosceles_triangle
Line_segment	Convex_polygon
Line_(geometry)	Kite_(geometry)
Geometry	Exterior_angle_theorem
Geometry	Internal_and_external_angle
Angle	Pythagorean_theorem
Geometry	Triangle_inequality
Geometry	Polygon
Line_segment	Kite_(geometry)
Triangle	Isosceles_triangle
Quadrilateral	Parallelogram
Polygon	Inverse_trigonometric_functions
Line_segment	Heptagon
Point_(geometry)	Transversal_(geometry)
Angle	Grade_(slope)
Triangle	Pythagorean_theorem
Polygon	Trigonometric_functions
Geometry	Special_right_triangles
Line_(geometry)	Pyramid_(geometry)
Edge_(geometry)	Octagon
Geometry	Angle
Edge_(geometry)	Parallelogram
Geometry	Rectangle
Similarity_(geometry)	Self-similarity
Line_(geometry)	Slope
Line_segment	Pyramid_(geometry)
Parallel_(geometry)	Parallelogram
Line_segment	Diagonal
Line_(geometry)	Altitude_(triangle)
Edge_(geometry)	Exterior_angle_theorem
Point_(geometry)	Kite_(geometry)
Edge_(geometry)	Triangle_inequality
Edge_(geometry)	Polygon
Line_segment	Altitude_(triangle)
Point_(geometry)	Skew_lines
Point_(geometry)	Heptagon
Quadrilateral	Rectangle
Line_(geometry)	Hexagon
Scale_factor	Scaling_(geometry)
Line_(geometry)	Tangent
Line_segment	Hexagon
Angle	Octagon
Polygon	Rectangle
Angle	Parallelogram
Edge_(geometry)	Special_right_triangles
Vertex_(geometry)	Polyhedron
Line_(geometry)	Right_angle
Point_(geometry)	Angle_bisector_theorem
Point_(geometry)	Rotational_symmetry
Point_(geometry)	Slope
Parallel_(geometry)	Rectangle
Line_(geometry)	Rigid_transformation
Perpendicular	Angle_bisector_theorem
Angle	Exterior_angle_theorem
Plane_(geometry)	Cartesian_coordinate_system
Point_(geometry)	Diagonal
Angle	Internal_and_external_angle
Vertex_(geometry)	Dodecagon
Angle	Polygon
Angle	Triangle_inequality
Geometry	Point_(geometry)
Point_(geometry)	Altitude_(triangle)
Angle	Bisection
Triangle	Exterior_angle_theorem
Polygon	Convex_polygon
Angle	Special_right_triangles
Slope	Grade_(slope)
Point_(geometry)	Star_polygon
Polygon	Kite_(geometry)
Triangle	Special_right_triangles
Geometry	Two-dimensional_space
Geometry	Radius
Plane_(geometry)	Transversal_(geometry)
Geometry	Tangent
Vertex_(geometry)	Quadrilateral
Polygon	Pyramid_(geometry)
Geometry	Line_(geometry)
Vertex_(geometry)	Pythagorean_triple
Line_(geometry)	Reflection_symmetry
Quadrilateral	Rhombus
Geometry	Rotation_(mathematics)
Geometry	Rigid_transformation
Geometry	Vertex_(geometry)
Polygon	Altitude_(triangle)
Right_angle	Pythagorean_triple
Line_(geometry)	Square
Line_(geometry)	Polyhedron
Edge_(geometry)	Rhombus
Polygon	Hexagon
Plane_(geometry)	Skew_lines
Line_segment	Polyhedron
Point_(geometry)	Perpendicular
Vertex_(geometry)	Pythagorean_theorem
Polygon	Tangent
Line_(geometry)	Trapezoid
Plane_(geometry)	Tessellation
Geometry	Midpoint
Line_(geometry)	Equilateral_triangle
Point_(geometry)	Coordinate_system
Symmetry	Self-similarity
Right_angle	Pythagorean_theorem
Vertex_(geometry)	Edge_(geometry)
Vertex_(geometry)	Nonagon
Circle	Radius
Angle	Rhombus
Rectangle	Square
Geometry	Cone
Trigonometric_functions	Sine
Triangle	Tangent
Vertex_(geometry)	Octagon
Point_(geometry)	Dodecagon
Geometry	Square
Vertex_(geometry)	Parallelogram
Line_(geometry)	Pythagorean_triple
Line_segment	Quadrilateral
Angle	Rotation_(mathematics)
Line_segment	Pythagorean_triple
Vertex_(geometry)	Internal_and_external_angle
Vertex_(geometry)	Polygon
Geometry	Equilateral_triangle
Line_(geometry)	Isosceles_triangle
Quadrilateral	Square
Line_(geometry)	Pythagorean_theorem
Line_segment	Isosceles_triangle
Polygon	Square
Polygon	Polyhedron
Line_segment	Pythagorean_theorem
Vertex_(geometry)	Special_right_triangles
Edge_(geometry)	Triangle
Line_(geometry)	Grade_(slope)
Geometry	Congruence_(geometry)
Vertex_(geometry)	Rectangle
Point_(geometry)	Quadrilateral
Point_(geometry)	Acute_and_obtuse_triangles
Line_(geometry)	Edge_(geometry)
Point_(geometry)	Pythagorean_triple
Parallel_(geometry)	Square
Line_segment	Edge_(geometry)
Right_angle	Special_right_triangles
Right_angle	Rectangle
Polygon	Equilateral_triangle
Circle	Cone
Polyhedron	Prism_(geometry)
Edge_(geometry)	Decagon
Angle	Triangle
Point_(geometry)	Pythagorean_theorem
Point_(geometry)	Line_segment
Line_(geometry)	Secant_line
Edge_(geometry)	Congruence_(geometry)
Line_(geometry)	Octagon
Point_(geometry)	Prism_(geometry)
Line_(geometry)	Parallelogram
Point_(geometry)	Edge_(geometry)
Line_segment	Octagon
Line_segment	Parallelogram
Polygon	Quadrilateral
Point_(geometry)	Nonagon
Polygon	Pythagorean_triple
Geometry	Grade_(slope)
Geometry	Plane_(geometry)
Line_(geometry)	Internal_and_external_angle
Angle	Decagon
Line_(geometry)	Exterior_angle_theorem
Line_(geometry)	Triangle_inequality
Line_(geometry)	Polygon
Triangle	Equilateral_triangle
Line_segment	Internal_and_external_angle
Line_segment	Exterior_angle_theorem
Line_segment	Triangle_inequality
Line_segment	Polygon
Angle	Congruence_(geometry)
Line_(geometry)	Bisection
Symmetry	Rotational_symmetry
Line_(geometry)	Special_right_triangles
Polygon	Isosceles_triangle
Point_(geometry)	Octagon
Line_segment	Special_right_triangles
Polygon	Pythagorean_theorem
Point_(geometry)	Parallelogram
Line_segment	Rectangle
Vertex_(geometry)	Tangent
Geometry	Secant_line
Point_(geometry)	Internal_and_external_angle
Geometry	Self-similarity
Point_(geometry)	Angle
Point_(geometry)	Rectangle
Geometry	Bisection
Polygon	Octagon
Polygon	Parallelogram
Sine	Inverse_trigonometric_functions
Point_(geometry)	Convex_polygon
Polygon	Exterior_angle_theorem
Polygon	Internal_and_external_angle
Polygon	Triangle_inequality
Line_(geometry)	Rhombus
Line_(geometry)	Radius
Line_segment	Radius
Geometry	Sine
Polygon	Special_right_triangles
Geometry	Cartesian_coordinate_system
Geometry	Arc_(geometry)
Vertex_(geometry)	Square
Line_segment	Tangent
Translation_(geometry)	Rigid_transformation
Point_(geometry)	Pyramid_(geometry)
Symmetry	Reflection_(mathematics)
Distance	Altitude_(triangle)
Line_(geometry)	Chord_(geometry)
Line_(geometry)	Rotation_(mathematics)
Geometry	Pentagon
Right_angle	Square
Pythagorean_theorem	Pythagorean_triple
Vertex_(geometry)	Equilateral_triangle
Edge_(geometry)	Trigonometric_functions
Point_(geometry)	Two-dimensional_space
Point_(geometry)	Radius
Reflection_(mathematics)	Rigid_transformation
Triangle	Triangle_inequality
Edge_(geometry)	Sine
Point_(geometry)	Hexagon
Perpendicular	Altitude_(triangle)
Geometry	Transversal_(geometry)
Point_(geometry)	Tangent
Vertex_(geometry)	Congruence_(geometry)
Line_(geometry)	Midpoint
Geometry	Rhombus
Line_segment	Midpoint
Point_(geometry)	Right_angle
Edge_(geometry)	Pentagon
Point_(geometry)	Rigid_transformation
Angle	Sine
Geometry	Cylinder_(geometry)
Circle	Arc_(geometry)
Geometry	Skew_lines
Angle	Cartesian_coordinate_system
Geometry	Chord_(geometry)
Triangle	Sine
Polygon	Rhombus
Line_(geometry)	Triangle
Reflection_(mathematics)	Reflection_symmetry
Geometry	Tessellation
Geometry	Angle_bisector_theorem
Angle	Pentagon
Vertex_(geometry)	Isosceles_triangle
Line_segment	Square
Parallel_(geometry)	Rhombus
Angle	Transversal_(geometry)
Edge_(geometry)	Heptagon
Point_(geometry)	Reflection_symmetry
Line_(geometry)	Decagon
Line_segment	Equilateral_triangle
Geometry	Star_polygon
Parallel_(geometry)	Skew_lines
Line_(geometry)	Congruence_(geometry)
Trigonometric_functions	Inverse_trigonometric_functions
Point_(geometry)	Square
Point_(geometry)	Polyhedron
Geometry	Cross_section_(geometry)
Line_segment	Congruence_(geometry)
Edge_(geometry)	Angle_bisector_theorem
Distance	Arc_length
Edge_(geometry)	Diagonal
Circle	Cylinder_(geometry)
Geometry	Triangle
Circle	Chord_(geometry)
Angle	Heptagon
Point_(geometry)	Trapezoid
Plane_(geometry)	Cross_section_(geometry)
Coordinate_system	Cartesian_coordinate_system
Arc_(geometry)	Arc_length
Point_(geometry)	Equilateral_triangle
Edge_(geometry)	Star_polygon
Angle	Angle_bisector_theorem
Angle	Rotational_symmetry
Vertex_(geometry)	Exterior_angle_theorem
Vertex_(geometry)	Triangle_inequality
Geometry	Perpendicular
Angle	Diagonal
Triangle	Angle_bisector_theorem
Geometry	Decagon
Polygon	Triangle
Geometry	Hendecagon
Angle	Star_polygon
Geometry	Circumference
Geometry	Reflection_(mathematics)
Line_(geometry)	Collinearity
Plane_(geometry)	Coordinate_system
Polygon	Decagon
Point_(geometry)	Isosceles_triangle
Face_(geometry)	Prism_(geometry)
Polygon	Congruence_(geometry)
Symmetry	Translation_(geometry)
Edge_(geometry)	Hendecagon
Point_(geometry)	Grade_(slope)
Geometry	Dodecagon
Vertex_(geometry)	Pentagon
Angle	Perpendicular
Geometry	Circle
Angle	Hendecagon
Rotation_(mathematics)	Rotational_symmetry
Geometry	Right_triangle
Line_segment	Bisection
Vertex_(geometry)	Rhombus
Edge_(geometry)	Dodecagon
Point_(geometry)	Secant_line
Circle	Circumference
Geometry	Collinearity
Geometry	Acute_and_obtuse_triangles
Angle	Reflection_(mathematics)
Line_(geometry)	Parallel_(geometry)
Geometry	Diameter
Point_(geometry)	Exterior_angle_theorem
Point_(geometry)	Triangle_inequality
Point_(geometry)	Polygon
Line_(geometry)	Sine
Angle	Dodecagon
Geometry	Line_segment
Point_(geometry)	Bisection
Line_(geometry)	Cartesian_coordinate_system
Line_segment	Sine
Parallelogram	Rectangle
Edge_(geometry)	Right_triangle
Edge_(geometry)	Quadrilateral
Vertex_(geometry)	Angle_bisector_theorem
Point_(geometry)	Special_right_triangles
Edge_(geometry)	Acute_and_obtuse_triangles
Symmetry	Rigid_transformation
Geometry	Prism_(geometry)
Perpendicular	Bisection
Line_(geometry)	Pentagon
Geometry	Nonagon
Line_segment	Pentagon
Angle	Right_triangle
Line_(geometry)	Transversal_(geometry)
Angle	Quadrilateral
Angle	Acute_and_obtuse_triangles
Geometry	Parallel_(geometry)
Geometry	Inverse_trigonometric_functions
Triangle	Right_triangle
Edge_(geometry)	Prism_(geometry)
Geometry	Trigonometric_functions
Circle	Diameter
Triangle	Acute_and_obtuse_triangles
Line_segment	Rhombus
Parallel_(geometry)	Prism_(geometry)
Geometry	Concentric
Edge_(geometry)	Nonagon
Symmetry	Reflection_symmetry
Vertex_(geometry)	Triangle
Two-dimensional_space	Cartesian_coordinate_system
Line_(geometry)	Skew_lines
Line_(geometry)	Heptagon
Rotation_(mathematics)	Reflection_(mathematics)
Line_segment	Chord_(geometry)
Parallelogram	Rhombus
Angle	Prism_(geometry)
Edge_(geometry)	Inverse_trigonometric_functions
Line_(geometry)	Angle_bisector_theorem
Point_(geometry)	Rhombus
Line_(geometry)	Rotational_symmetry
Polygon	Sine
Vertex_(geometry)	Decagon
Angle	Nonagon
Line_segment	Angle_bisector_theorem
Line_(geometry)	Diagonal
Midpoint	Bisection
Vertex_(geometry)	Hendecagon
Point_(geometry)	Line_(geometry)
Edge_(geometry)	Internal_and_external_angle
Polygon	Pentagon
Geometry	Translation_(geometry)
Point_(geometry)	Chord_(geometry)
Angle	Inverse_trigonometric_functions
Line_(geometry)	Star_polygon
Angle	Trigonometric_functions
Point_(geometry)	Vertex_(geometry)
Point_(geometry)	Rotation_(mathematics)
Geometry	Convex_polygon
Line_segment	Star_polygon
Triangle	Inverse_trigonometric_functions
Edge_(geometry)	Rectangle
Geometry	Kite_(geometry)
Triangle	Trigonometric_functions
Geometry	Heptagon
Point_(geometry)	Midpoint
Line_segment	Triangle
Geometry	Pyramid_(geometry)
Geometry	Rotational_symmetry
Geometry	Slope
Quadrilateral	Kite_(geometry)
Edge_(geometry)	Convex_polygon
Angle	Rectangle
Geometry	Diagonal
Polygon	Heptagon
Geometry	Altitude_(triangle)
Edge_(geometry)	Kite_(geometry)
Line_(geometry)	Perpendicular
Face_(geometry)	Polyhedron
Geometry	Hexagon
Vertex_(geometry)	Right_triangle
Parallelogram	Square
Line_segment	Decagon
Line_(geometry)	Hendecagon
Polygon	Angle_bisector_theorem
Geometry	Face_(geometry)
Point_(geometry)	Triangle
Vertex_(geometry)	Acute_and_obtuse_triangles
Edge_(geometry)	Pyramid_(geometry)
Line_segment	Hendecagon
Plane_(geometry)	Two-dimensional_space
Geometry	Right_angle
Angle	Convex_polygon
Right_angle	Right_triangle
Polygon	Diagonal
Line_(geometry)	Reflection_(mathematics)
Angle	Kite_(geometry)
Edge_(geometry)	Altitude_(triangle)
Polygon	Star_polygon
Edge_(geometry)	Hexagon
Point_(geometry)	Decagon
Chord_(geometry)	Diameter
Edge_(geometry)	Tangent
Angle	Pyramid_(geometry)
Point_(geometry)	Hendecagon
Line_(geometry)	Dodecagon
Point_(geometry)	Congruence_(geometry)
Vertex_(geometry)	Prism_(geometry)
Midpoint	Angle_bisector_theorem
Line_segment	Dodecagon
Angle	Altitude_(triangle)
Point_(geometry)	Reflection_(mathematics)
Geometry	Coordinate_system
Angle	Hexagon
Triangle	Altitude_(triangle)
Geometry	Reflection_symmetry
Angle	Tangent
Two-dimensional_space	Coordinate_system
Right_triangle	Pythagorean_triple
Vertex_(geometry)	Inverse_trigonometric_functions
Line_(geometry)	Right_triangle
Angle	Right_angle
Line_(geometry)	Quadrilateral
Vertex_(geometry)	Trigonometric_functions
Radius	Diameter
Line_(geometry)	Acute_and_obtuse_triangles
Line_segment	Right_triangle
Geometry	Polyhedron
Angle	Rigid_transformation
Vertex_(geometry)	Sine
Line_segment	Acute_and_obtuse_triangles
Polygon	Hendecagon
Line_(geometry)	Diameter
Internal_and_external_angle	Exterior_angle_theorem
Right_triangle	Pythagorean_theorem
Line_segment	Diameter
Geometry	Trapezoid
Geometry	Arc_length
Line_(geometry)	Line_segment
Point_(geometry)	Right_triangle
Edge_(geometry)	Square
Edge_(geometry)	Polyhedron
Line_(geometry)	Prism_(geometry)
Point_(geometry)	Collinearity
Line_segment	Prism_(geometry)
Line_(geometry)	Nonagon
Polygon	Dodecagon
Point_(geometry)	Diameter
Trigonometric_functions	Tangent
Angle	Reflection_symmetry
Line_segment	Nonagon
Geometry	Quadrilateral
Geometry	Sphere
Edge_(geometry)	Equilateral_triangle
Geometry	Symmetry
Geometry	Pythagorean_triple
Vertex_(geometry)	Convex_polygon
Angle	Square
Angle	Polyhedron
Line_(geometry)	Inverse_trigonometric_functions
Line_(geometry)	Trigonometric_functions
Vertex_(geometry)	Kite_(geometry)
Line_segment	Inverse_trigonometric_functions
Vertex_(geometry)	Heptagon
Line_segment	Trigonometric_functions
Geometry	Isosceles_triangle
Polygon	Right_triangle
Angle	Trapezoid
Geometry	Pythagorean_theorem
Angle	Equilateral_triangle
Polygon	Acute_and_obtuse_triangles
Circle	Arc_length
Vertex_(geometry)	Pyramid_(geometry)
Symmetry	Rotation_(mathematics)
Rotation_(mathematics)	Rigid_transformation
Edge_(geometry)	Pythagorean_triple
Geometry	Edge_(geometry)
Right_triangle	Special_right_triangles
Vertex_(geometry)	Diagonal
Point_(geometry)	Parallel_(geometry)
Point_(geometry)	Inverse_trigonometric_functions
Vertex_(geometry)	Altitude_(triangle)
Line_(geometry)	Angle
